id;label;type
1;Tem compromisso assumido com as metas da organização;hard skill
2;Atinge os resultados desejados;hard skill
3;Dedica atenção a tudo o que faz;hard skill
4;Procura trabalhar consistentemente num alto nível na sua função;hard skill
5;Toma decisões apropriadas quando necessário;hard skill
6;Contribui com ideias e sugestões para melhoria na sua função;hard skill
7;Ouve feedbacks alheios e busca ser melhor;hard skill
8;Prioridade certa no momento certo;hard skill
9;Tem práticas e sistemas eficientes para o seu trabalho individual;hard skill
10;Transmite as informações importantes aos outros de maneira eficiente;hard skill
11;Cumpre todos os compromissos;hard skill
12;Informa aos outros quando não terá condições de cumprir uma promessa;hard skill
13;É habilidoso ao dar e receber feedbacks sobre desempenho;hard skill
14;Procura exceder as expectativas dos clientes sempre que possível;hard skill
15;Age de maneira positiva ao buscar oportunidades para aprender;hard skill
16;Compreende bem as tecnologias de trabalho atuais e futuras;hard skill
17;Assume a responsabilidade pelo próprio desenvolvimento profissional;hard skill
18;Autoconfiança: ter um sólido senso do próprio valor, capacidades e potencial;soft skill
19;Autocontrole emocional: mantém emoções e impulsos destrutivos sob controle;soft skill
20;Superação:possui ímpeto para melhorar o desempenho a fim de satisfazer padrões interiores de execelência;soft skill
21;Iniciativa: está sempre pronto para agir e aproveitar oportunidades;soft skill
22;Transparência e Credibilidade: é honesto e íntegro, digno de confiança;soft skill
23;Tem flexibilidade na adaptação a pessoas com estilo diferente, a situações voláteis ou na maneira de pensar e se comportar em situações antagônicas;soft skill
24;Otimismo: vê o lado bom dos acontecimentos em qualquer situação;soft skill
25;Empatia: percebe as emoções alheias, compreende seus pontos de vista e se interessa ativamente pelas preocupações dos outros;soft skill
26;Serviço: reconhece e satisfaz as necessidades dos subordinados e clientes, servindo-os e ajudando-os a melhorar seu desempenho e alcançar seus objetivos;soft skill
27;Liderança inspiradora: orienta e motiva, com uma visão instigante, conduzindo pessoas a objetivos de ganhos mútuos;soft skill
28;Influência: dispõe da capacidade de persuadir e influenciar pessoas;soft skill
29;Gerenciamento de conflitos: soluciona divergências entre pessoas, levando-as à integração e à aceitação mútua;soft skill
30;Trabalho em equipe: conquista a colaboração e o trabalho em equipe, com alto desempenho;soft skill
